"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
298,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,596,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107948722902,5842107948729747,5842107948828308,5842107948828887,98561
299,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,598,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107948845118,5842107948853108,5842107948952149,5842107948952736,99041
300,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,600,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108066799611,5842108066833025,5842108066942145,5842108066947216,109120
301,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,602,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108066961774,5842108066970465,5842108067049505,5842108067050445,79040
302,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,604,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108067066056,5842108067074466,5842108067172866,5842108067173493,98400
303,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,606,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108067187651,5842108067193667,5842108067291747,5842108067292213,98080
304,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,608,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108067306981,5842108067313347,5842108067392708,5842108067393208,79361
305,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,610,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108067406965,5842108067413988,5842108067493189,5842108067493872,79201
306,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,612,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108067507148,5842108067513509,5842108067612390,5842108067612872,98881
307,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,614,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108067626399,5842108067632710,5842108067729991,5842108067730590,97281
308,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,616,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108067744256,5842108067750951,5842108067829832,5842108067830483,78881
309,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,618,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108067845592,5842108067853832,5842108067935273,5842108067935887,81441
310,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,620,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108067955895,5842108067965673,5842108068063914,5842108068064495,98241
311,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,622,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108068078502,5842108068084874,5842108068183435,5842108068183876,98561
312,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,624,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108068199286,5842108068207435,5842108068306156,5842108068306744,98721
313,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,626,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108068320320,5842108068326316,5842108068406476,5842108068406967,80160
314,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,628,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108068420584,5842108068426797,5842108068506157,5842108068506760,79360
315,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,630,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108068520847,5842108068529997,5842108068610638,5842108068611132,80641
316,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,632,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108068624698,5842108068630798,5842108068710639,5842108068711305,79841
317,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,634,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108068725102,5842108068731599,5842108068828880,5842108068829384,97281
318,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,636,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108068842910,5842108068849360,5842108068947761,5842108068948434,98401
319,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,638,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108068964415,5842108068972401,5842108069052562,5842108069052956,80161
320,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,640,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108069066662,5842108069073042,5842108069171283,5842108069171785,98241
321,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,642,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108069185612,5842108069191603,5842108069270323,5842108069270987,78720
322,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,644,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108069285976,5842108069294324,5842108069374164,5842108069374738,79840
